Name,State,Republican_Democrat,House_Senate,Years_in_office,Joined_Twitter,Twitter_ID,X8,Tweets
Mike D Rogers,Alabama,R,H,2003-Present,9-Apr,@RepMikeRogersAL,NA,3823
Martha Roby,Alabama,R,H,2001-present,10-Dec,@RepMarthaRoby,NA,7790
Terri Sewell,Alabama,D,H,2011- present,11-Sep,@RepTerriSewell,NA,4576
Bradley Byren,Alabama,R,H,2013-Present,13-Dec,@RepByrne,NA,12.3K
Raul M. Grijalva,Arizona,D,H,2003-Present,9-Apr,@RepRaulGrijalva,NA,3892
Paul Gosar,Arizona,R,H,2013-Present,11-Jan,@RepGosar,NA,8700
David Schweikert,Arizona,R,H,2011- present,10-Dec,@RepDavid,NA,3403
Krysten Sinema,Arizona,D,H,2013-Present,13-Jan,@RepSinema,NA,10.9k
John Boozman,Arkansas,R,H,2001-2011,7-Apr,ALREADY IN THE SENATE,NA,3949
Rick Crawford,Arkansas,R,H,2011- present,11-Jan,@RepRickCrawford,NA,4595
Tim Griffin(Now Governor),Arkansas,R,H,2011-2015,10-Oct,@LtGovTimGriffin,NA,7749
Steve Womack,Arkansas,R,H,2011- present,11-Jan,@rep_stevewomack,NA,5336
Tom Cotton,Arkansas,R,H,2013-2015,NA,ALREADY IN THE SENATE,NA,7773
Bruce Westerman,Arkansas,R,H,2015-Present,14-Oct,@RepWesterman,NA,4215
Mike Thompson,California,D,H,1999-Present,11-May,@RepThompson,NA,6381
Nancy Pelosi,California,D,H,1987-Present,8-Aug,@NancyPelosi,NA,7397
Barbara Lee,California,D,H,1990-Present,11-Feb,@RepBarbaraLee,NA,7645
Jackie Speier,California,D,H,Bunch of times but 2013-present,9-Mar,@RepSpeier,NA,4599
Kevin McCarthy,California,R,H,2004-Present,9-Jan,@GOPLeader,NA,9414
Adam Schiff,California,D,H,1996-present,9-Apr,@RepAdamSchiff,NA,4550
Xavier Becerra,California,D,H,1992-2017,10-Apr,@AGBecerra,NA,4315
Hilda Solis,California,D,H,2003-2009 and 2014-Present,14-Mar,@HildaSolis,NA,7422
Lucille Roybal-Allard,California,D,H,1993-Present,12-Jan,@RepRoybalAllard,NA,4385
Edward R. Royce,California,R,H,1993-Present,11-Feb,@RepEdRoyce,NA,4193
Ken Calvert,California,R,H,1993-Present,9-Mar,@KenCalvert,NA,4725
Mary Bono,California,R,H,1998-2013,9-Jan,@MaryBonoUSA,NA,7232
Dana Rohrabacher,California,R,H,1989-Present,9-Jan,@DanaRohrabacher,NA,13k
Darrell Issa,California,R,H,2001-present,9-Mar,@DarrellIssa,NA,21.2k
John Garamendi,California,D,H,2009-Present,9-Nov,@RepGaramendi,NA,12.1k
Judy Chu,California,D,H,2009-Present,10-Sep,@RepJudyChu,NA,4382
Karen Bass,California,D,H,2004-Present,11-Jan,@RepKarenBass,NA,4208
Janice Hahn,California,D,H,2011-2016,11-Jul,@SupJaniceHahn,NA,5409
Julia Brownley,California,D,H,2006-Present,13-Mar,@JuliaBrownley26,NA,3129
Tony Cardenas,California,D,H,2013-Present,13-Feb,@RepCardenas,NA,7003
Alen Lowenthal,California,D,H,2004-Present,13-Jan,@RepLowenthal,NA,3385
Scott Peters,California,D,H,2013-Present,13-Jan,@RepScottPeters,NA,8507
Ted Lieu,California,D,H,2015-Present,9-Feb,@tedlieu,NA,17.7k
Norma Torres,California,D,H,2015-Present,11-Jan,@NormaJTorres,NA,5771
Mimi Walters,California,R,H,2015-Present,9-Jun,@RepMimiWalters,NA,4440
Eric Swalwell,California,D,H,2013-Present,2012 nov,RepSwalwell,,
Diana Degette,Colorado,D,H,1992-Present,9-Apr,@RepDianaDeGette,NA,4073
Doug Lamborn,Colorado,R,H,2007-Present,12-May,@RepDLamborn,NA,4198
Ed Perlmutter,Colorado,D,H,2007-Present,9-Feb,@RepPerlmutter,NA,4106
Mike Coffman,Colorado,R,H,2009-Present,9-Jan,@RepMikeCoffman,NA,3346
Joe Courtney,Connecticut,D,H,2007-Present,9-Oct,@RepJoeCourtney,NA,5559
Rosa DeLauro,Connecticut,D,H,1991-Present,10-May,@rosadelauro,NA,6103
Jim Himes,Connecticut,D,H,2009-Present,9-Apr,@jahimes,NA,8737
Elizabeth Etsy,Connecticut,D,H,2013-Present,2013 Jan,RepEtsy,,
Kathy Castor,Florida,D,H,2007-Present,13-Sep,@USRepKCastor,NA,4482
Adam Putnam,Florida,R,H,2011- present,9-Jun,@adamputnam,NA,4403
Ileana Ros-Lehtinen,Florida,R,H,1989-Present,8-Apr,@RosLehtinen,NA,28.9k
Debbie Wasserman Schultz,Florida,D,H,2005-Present,10-Feb,@DWStweets,NA,9815
Ted Deutch,Florida,D,H,2010-Present,10-Apr,@RepTedDeutch,NA,6334
Daniel Webster,Florida,R,H,"1998-2008, 2011-present",11-Apr,@RepWebster,NA,3194
Dennis Ross,Florida,R,H,"2000-2008, 2011-Present",9-Apr,@RepDennisRoss,NA,13k
Frederica Wilson,Florida,D,H,1998-Present,11-Jan,@RepWilson,NA,10.8k
Patrick Murphy,Florida,D,H,2013-2017,11-Mar,@PatrickMurphyFL,NA,16.2k
Mario Diaz-Balart,Florida,R,H,2003-Present,9-May,@MarioDB,NA,6065
Allen West,Florida,R,H,2011-2013,11-Jan,@AllenWest,NA,11.5k
Trey Radel,Florida,R,H,Jan 2013-Jan 2014,8-Nov,@treyradel,NA,8849
Lois Frankel,Florida,D,H,2013-Present,13-Jan,@RepLoisFrankel,NA,5020
Carlos Curbelo,Florida,R,H,2015-Present,14-Oct,@RepCurbelo,NA,3365
Jack Kingston,Georgia,R,H,1985-2015,9-Apr,@JackKingston,NA,4189
Hank Johnson,Georgia,D,H,2007-Present,March 2-009,@RepHankJohnson,NA,4545
Tom Graves,Georgia,R,H,2003-Present,10-Sep,@RepTomGraves,NA,3794
Doug Collins,Georgia,R,H,2013-Present,13-Jan,@RepDougCollins,NA,3341
Neil Abercrombie,Hawaii,D,H,1991-2010,7-Nov,@neilabercrombie,NA,7140
Tulsi Gabbard,Hawaii,D,H,2013-Present,13-Jan,@TulsiPress,NA,3747
Luis Gutierrez,Illinois,D,H,1993-Present,9-May,@RepGutierrez,NA,5756
Michael Quigley,Illinois,D,H,2009-Present,9-Jul,@RepMikeQuigley,NA,10.3k
Peter Roskam,Illinois,R,H,2000-present,9-Feb,@PeterRoskam,NA,6979
Janice Schakowsky,Illinois,D,H,1999-present,9-Mar,@janschakowsky,NA,6353
Bob Dold,Illinois,R,H,2011-2017,11-Jan,@RepDold,NA,3561
Tammy Duckworth,Illinois,D,H,2013-2017,NA,ALREADY IN THE SENATE,NA,3901
John Shimkus,Illinois,R,H,1997-present,8-Jul,@RepShimkus,NA,10.4k
Adam Kinzinger,Illinois,R,H,2011- present,10-Nov,@RepKinzinger,NA,7299
Randy Hultgren,Illinois,R,H,1998-Present,11-Jan,@RepHultgren,NA,4843
Rodney L. Davis,Illinois,R,H,2013-Present,12-Dec,@RodneyDavis,NA,4909
Cheri Bustos,Illinois,D,H,2013-Present,13-Jan,@RepCheri,NA,3349
Joe Donnelly,Indiana,D,H,2007-2013,NA,ALREADY IN THE SENATE,NA,5570
Mike Pence,Indiana,R,H,2001-2013,9-Feb,@mike_pence,NA,5370
Andre Carson,Indiana,D,H,2008-present,10-Oct,@RepAndreCarson,NA,3457
Todd Rokita,Indiana,R,H,2011- present,8-Nov,@ToddRokita,NA,5979
Larry Bucshon,Indiana,R,H,2011- present,11-Jan,@RepLarryBucshon,NA,5077
Todd Young,Indiana,R,H,2011-2017,NA,ALREADY IN THE SENATE,NA,3918
Jackie Walroski,Indiana,R,H,"2005-2010, then 2013-present",13-Jan,@RepWalorski,NA,4283
Susan Brooks,Indiana,R,H,2013-Present,13-Jan,@SusanWBrooks,NA,5338
Bruce Braley,Iowa,D,H,2007-2015,9-Apr,@BruceBraley,NA,6247
David Young,Iowa,R,H,2015-Present,11-Jun,@RepDavidYoung,NA,447
Jerry Moran,Kansas,R,H,1997-2011,9-Jan,ALREADY IN THE SENATE,NA,4445
Tim Huelskamp,Kansas,R,H,1997-2017,11-Jan,@CongHuelskamp,NA,7599
Lynn Jenkins,Kansas,R,H,2009-Present,9-Jan,@RepLynnJenkins,NA,5744
Kevin Yoder,Kansas,R,H,2011- present,11-Feb,@RepKevinYoder,NA,7369
John Yarmuth,Kentucky,D,H,2007-present,11-Oct,@RepJohnYarmuth,NA,3223
Harold Rogers,Kentucky,R,H,1981-Present,12-Apr,RepHalRogers,NA,3465
Steve Scalise,Louisiana,R,H,1996-Present,13-Feb,@SteveScalise,NA,8001
Bill Cassidy,Louisiana,R,H,2006-2015,9-Jul,ALREADY IN THE SENATE,NA,5141
Jeff Landry,Louisiana,R,H,2011-2013,10-Nov,@AGJeffLandry,NA,3165
Chellie Pingree,Maine,D,H,2009-Present,8-Jun,@chelliepingree,NA,3586
Steny Hoyer,Maryland,D,H,1981-Present,9-Feb,@WhipHoyer,NA,15.3k
Elijah Cummings,Maryland,D,H,1996-Present,12-Aug,@RepCummings,NA,5767
Chris Van Hollen,Maryland,D,H,2009-2011,8-Dec,ALREADY IN THE SENATE,NA,3665
Donna Edwards,Maryland,D,H,2008-2017,9-Oct,@repdonnaedwards,NA,6393
John Delaney,Maryland,D,H,2013-Present,12-Nov,@RepJohnDelaney,NA,5385
Jim McGroven,Massachusetts,D,H,1997-present,11-Jan,@RepMcGovern,NA,8146
Niki Tsongas,Massachusetts,D,H,2007-present,11-Jan,@nikiinthehouse,NA,6285
Ed Markey,Massachusetts,D,H,1973-2013,9-Feb,ALREADY IN THE SENATE @SenMarkey,NA,12.2k
Joseph P. Kennedy III,Massachusetts,D,H,2013-Present,13-Jan,@RepJoeKennedy,NA,4071
Katherine Clark,Massachusetts,D,H,2013-Present,14-Jan,@RepJoeKennedy,NA,3884
Seth Moulton,Massachusetts,D,H,2015-Present,11-Feb,@RepJoeKennedy,NA,9002
Dale E. Kildee,Michigan,D,H,1965-2013,NA,NA,NA,5429
Fred Upton,Michigan,R,H,1987-Present,10-Mar,@RepFredUpton,NA,5330
Tim Walberg,Michigan,R,H,"2007-2009, then 2011-present",11-Jan,@RepWalberg,NA,4092
Mike Rogers,Michigan,R,H,1995-2015,10-Jun,@RepMikeRogers,NA,3355
Thaddeus McCotter,Michigan,R,H,1999-2012,7-Aug,@ThadMcCotter,NA,9991
John Conyers,Michigan,D,H,1965-2017,10-Apr,@RepJohnConyers,NA,3357
John Dingell,Michigan,D,H,1995-2015,10-Jan,@JohnDingell,NA,5580
Bill Huizenga,Michigan,R,H,"2003-2009, then 2011-present",11-Jan,@RepHuizenga,NA,5923
Justin Amash,Michigan,R,H,2009-Present,11-Jan,@justinamash,NA,15k
Kerry Bentivolio,Michigan,R,H,2013-2015,12-Nov,@RepDanKildee,NA,TWEETS SIGNED BY KB ARE MINE
Brenda Lawrence,Michigan,D,H,2015-Present,14-Nov,@RepLawrence,NA,3781
Tim Walz,Minnesota,D,H,2007-present,13-Mar,@RepTimWalz,NA,3493
Betty McCollum,Minnesota,D,H,1993-present,12-Mar,@BettyMcCollum04,NA,6181
Keith Ellison,Minnesota,D,H,2003-Present,8-Mar,@keithellison,NA,20.5k
Michele Bachmann,Minnesota,R,H,2001-2015,8-Dec,@MicheleBachmann,NA,4277
Erik Paulsen,Minnesota,R,H,2009-Present,8-Nov,@RepErikPaulsen,NA,5275
Tom Emmer,Minnesota,R,H,"2005-2011, then 2015-present",14-Dec,@RepTomEmmer,NA,3736
Roger Wicker,Mississippi,R,H,1995-2007,11-Mar,ALREADY IN THE SENATE @SenatorWicker,NA,4096
Gregg Harper,Mississippi,R,H,2009-Present,9-Mar,@GreggHarper,NA,3245
Emanuel Cleaver,Missouri,D,H,2005-present,10-Jul,@repcleaver,NA,5337
Sam Graves,Missouri,R,H,2001-present,9-Apr,@RepSamGraves,NA,7237
Vicky Hartzler,Missouri,R,H,2011-present,11-Jan,@RepHartzler,NA,6105
Bill Long,Missouri,R,H,2011-present,13-May,@USRepLong,NA,6243
Steve Daines,Montana,R,H,2013-2015,7-Dec,ALREADY IN THE SENATE @SteveDaines,NA,5108
Jeff Fortenberry,Nebraska,R,H,2005-present,9-Jan,@JeffFortenberry,NA,3123
Lee Terry,Nebraska,R,H,1999-2015,8-Dec,@LEETERRYNE,NA,4091
Brad Ashford,Nebraska,D,H,2007-2017,15-Jan,@RepBradAshford,NA,3651
Dina Titus,Nevada,D,H,"1998-2011, then 2013, present",Marchn 2010,@repdinatitus,NA,9692
Ann McLane Kuster,New Hampshire,D,H,2013-Present,13-Jan,@RepAnnieKuster,NA,3574
Frank LoBiondo,New Jersey,R,H,1995-present,11-Jan,@RepLoBiondo,NA,4241
Donald Norcross,New Jersey,D,H,2014-Present,15-Mar,@DonaldNorcross,NA,6813
Frank Pallone,New Jersey,D,H,1988-present,9-Apr,@FrankPallone,NA,11.2
Donald Payne,New Jersey,D,H,1989-2012,13-Feb,@RepDonaldPayne,NA,4679
Bonnie Watson Coleman,New Jersey,D,H,2015-Present,15-Jan,@RepBonnie,NA,4535
Steve Pearce,New Mexico,R,H,"2003-2009, then 2011-present",11-Jan,@RepStevePearce,NA,4323
Tom Udall,New Mexico,D,H,1999-2009,Only counts when he became a senator-July 2009,ALREADY IN THE SENATE,NA,3944
Michelle Lujan Grisham,New Mexico,D,H,2013-Present,13-Jan,@RepLujanGrisham,NA,5169
Steve Israel,New York,D,H,2001-2017,9-Feb,@RepSteveIsrael,NA,4996
Gregory Meeks,New York,D,H,1998-present,9-Mar,@RepGregoryMeeks,NA,4073
Joseph Crowley,New York,D,H,1987-Present,10-Feb,@repjoecrowley,NA,6030
Jerrold Nadler,New York,D,H,1992-present,9-May,@RepJerryNadler,NA,4691
Charles Rangel,New York,D,H,1971-2017,9-Feb,@cbrangel,NA,7110
Jose Serrano,New York,D,H,1990-Present,9-Apr,@RepJoseSerrano,NA,4343
Eliot L. Engel,New York,D,H,1977-present,10-Jul,@RepEliotEngel,NA,3643
Nita Lowey,New York,D,H,1989-present,10-Dec,@NitaLowey,NA,3040
Kristen Gillibrand,New York,D,H,2007-2009,9-Sep,ALREADY IN THE SENATE,NA,16k
Yvette Clarke,New York,D,H,2007-present,11-Jan,@RepYvetteClarke,NA,11.5k
